"database_id","ingredient_concept_id","ingredient","drug_source_concept_id","drug_source","n_records","result_obscured"
"CPRD GOLD",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1797513,"ciprofloxacin",37800933,"Ciprofloxacin 0.3% / Dexamethasone 0.1% ear drops",117,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",37800935,"Cilodex ear drops (Novartis Pharmaceuticals UK Ltd)",32,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",42520570,"Ciprofloxacin 2mg/ml ear drops 0.25ml unit dose preservative free",42,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",42520836,"Cetraxal 2mg/ml ear drops 0.25ml unit dose (Aspire Pharma Ltd)",5,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45731297,"Ciproxin 250mg tablets (Bayer Plc)",853,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1797513,"ciprofloxacin",45733341,"Ciproxin 250mg/5ml oral suspension (Bayer Plc)",15,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1797513,"ciprofloxacin",45734959,"Ciprofloxacin 500mg tablets",7329,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45736782,"Ciproxin 500mg tablets (Bayer Plc)",444,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45737034,"Ciprofloxacin 750mg tablets",187,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45738639,"Ciprofloxacin 250mg tablets",4872,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45738887,"Ciloxan 0.3% eye drops (Novartis Pharmaceuticals UK Ltd)",45,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45738888,"Ciprofloxacin 0.3% eye drops",498,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45740615,"Ciproxin 100mg tablets (Bayer Plc)",17,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1797513,"ciprofloxacin",45742375,"Ciprofloxacin 250mg/5ml oral suspension",130,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45742815,"Ciprofloxacin 3mg/g eye ointment",19,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45744141,"Ciproxin 750mg tablets (Bayer Plc)",17,FALSE
"CPRD GOLD",1797513,"ciprofloxacin",45744142,"Ciprofloxacin 100mg tablets",182,FALSE
"CPRD GOLD",1716903,"moxifloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1716903,"moxifloxacin",45731815,"Moxifloxacin 400mg tablets",32,FALSE
"CPRD GOLD",1716903,"moxifloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1716903,"moxifloxacin",NA,NA,NA,TRUE
"CPRD GOLD",923081,"ofloxacin",45736967,"Tarivid 400mg tablets (Sanofi)",74,FALSE
"CPRD GOLD",923081,"ofloxacin",45736968,"Ofloxacin 400mg tablets",481,FALSE
"CPRD GOLD",923081,"ofloxacin",45739531,"Ofloxacin 0.3% eye drops",177,FALSE
"CPRD GOLD",923081,"ofloxacin",45740564,"Tarivid 200mg tablets (Sanofi)",93,FALSE
"CPRD GOLD",923081,"ofloxacin",45741415,"Exocin 0.3% eye drops (Allergan Ltd)",83,FALSE
"CPRD GOLD",923081,"ofloxacin",45742320,"Ofloxacin 200mg tablets",350,FALSE
"CPRD GOLD",1742253,"levofloxacin",37826194,"Levofloxacin 250mg tablets",63,FALSE
"CPRD GOLD",1742253,"levofloxacin",37826195,"Levofloxacin 500mg tablets",268,FALSE
"CPRD GOLD",1742253,"levofloxacin",37826203,"Tavanic 250mg tablets (Sanofi)",6,FALSE
"CPRD GOLD",1742253,"levofloxacin",37826204,"Tavanic 500mg tablets (Sanofi)",34,FALSE
"CPRD GOLD",1742253,"levofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1742253,"levofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1742253,"levofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",1721543,"norfloxacin",45733316,"Utinor 400mg tablets (Merck Sharp & Dohme Ltd)",212,FALSE
"CPRD GOLD",1721543,"norfloxacin",45744111,"Norfloxacin 400mg tablets",612,FALSE
