"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","n_records","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","amount_value","amount_unit_concept_id","numerator_value","numerator_unit_concept_id","numerator_unit","denominator_value","denominator_unit_concept_id","denominator_unit","box_size","amount_unit","dose_form","result_obscured"
"CPRD GOLD",1797513,"ciprofloxacin",1797513,"ciprofloxacin",5,"Drug","RxNorm","Ingredient","S","2551",1970-01-01,2099-12-31,NA,NA,8576,NA,NA,NA,NA,NA,NA,NA,"milligram",NA,FALSE
"CPRD GOLD",1797515,"ciprofloxacin 250 MG Oral Tablet",1797513,"ciprofloxacin",874168,"Drug","RxNorm","Clinical Drug","S","197511",1970-01-01,2099-12-31,NA,250,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",1797516,"ciprofloxacin 750 MG Oral Tablet",1797513,"ciprofloxacin",35742,"Drug","RxNorm","Clinical Drug","S","197512",1970-01-01,2099-12-31,NA,750,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",1797580,"ciprofloxacin 500 MG Extended Release Oral Tablet",1797513,"ciprofloxacin",16,"Drug","RxNorm","Clinical Drug","S","794769",2008-06-01,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Extended Release Oral Tablet",FALSE
"CPRD GOLD",19021637,"ciprofloxacin 100 MG Oral Tablet",1797513,"ciprofloxacin",34789,"Drug","RxNorm","Clinical Drug","S","199370",1970-01-01,2099-12-31,NA,100,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",19075377,"ciprofloxacin 0.003 MG/MG Ophthalmic Ointment",1797513,"ciprofloxacin",3750,"Drug","RxNorm","Clinical Drug","S","309306",1970-01-01,2099-12-31,NA,NA,NA,0.003,8576,"milligram",NA,8576,"milligram",NA,NA,"Ophthalmic Ointment",FALSE
"CPRD GOLD",19075378,"ciprofloxacin 3 MG/ML Ophthalmic Solution",1797513,"ciprofloxacin",79463,"Drug","RxNorm","Clinical Drug","S","309307",1970-01-01,2099-12-31,NA,NA,NA,3,8576,"milligram",NA,8587,"milliliter",NA,NA,"Ophthalmic Solution",FALSE
"CPRD GOLD",19075379,"ciprofloxacin 50 MG/ML Oral Suspension",1797513,"ciprofloxacin",41396,"Drug","RxNorm","Clinical Drug","S","309308",1970-01-01,2099-12-31,NA,NA,NA,50,8576,"milligram",NA,8587,"milliliter",NA,NA,"Oral Suspension",FALSE
"CPRD GOLD",19075380,"ciprofloxacin 500 MG Oral Tablet",1797513,"ciprofloxacin",1228737,"Drug","RxNorm","Clinical Drug","S","309309",1970-01-01,2099-12-31,NA,500,8576,NA,NA,NA,NA,NA,NA,NA,"milligram","Oral Tablet",FALSE
"CPRD GOLD",19075391,"ciprofloxacin 100 MG/ML Oral Suspension",1797513,"ciprofloxacin",5,"Drug","RxNorm","Clinical Drug","S","309310",1970-01-01,2099-12-31,NA,NA,NA,100,8576,"milligram",NA,8587,"milliliter",NA,NA,"Oral Suspension",FALSE
