"database_id","drug_concept_id","drug","ingredient_concept_id","ingredient","drug_source_concept_id","drug_source","n_records","result_obscured"
"CPRD GOLD",21101355,"Ciprofloxacin 250 MG Oral Tablet by Mylan",1797513,"ciprofloxacin",45738427,"Ciprofloxacin 250mg tablets (Mylan)",44,FALSE
"CPRD GOLD",21120863,"Ciprofloxacin 100 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",45740615,"Ciproxin 100mg tablets (Bayer Plc)",1235,FALSE
"CPRD GOLD",40710699,"200 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21091468,"Ciprofloxacin 750 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21111217,"Ciprofloxacin 50 MG/ML Oral Suspension [Ciproxin] by Bayer",1797513,"ciprofloxacin",45733341,"Ciproxin 250mg/5ml oral suspension (Bayer Plc)",1511,FALSE
"CPRD GOLD",21130655,"Ciprofloxacin 500 MG Oral Tablet by Wockhardt",1797513,"ciprofloxacin",45738430,"Ciprofloxacin 500mg tablets (Wockhardt UK Ltd)",5,FALSE
"CPRD GOLD",21150442,"Ciprofloxacin 250 MG Oral Tablet by Ivax",1797513,"ciprofloxacin",45736606,"Ciprofloxacin 250mg tablets (IVAX Pharmaceuticals UK Ltd)",38,FALSE
"CPRD GOLD",36896428,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution",1797513,"ciprofloxacin",45736781,"Ciprofloxacin 2mg/ml infusion",5,FALSE
"CPRD GOLD",46287384,"200 ML ciprofloxacin 2 MG/ML Injection",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21101377,"Ciprofloxacin 500 MG Oral Tablet by Pliva",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21120866,"Ciprofloxacin 250 MG Oral Tablet by TEVA",1797513,"ciprofloxacin",45734790,"Ciprofloxacin 250mg tablets (Teva UK Ltd)",61,FALSE
"CPRD GOLD",21091473,"Ciprofloxacin 0.003 MG/MG Ophthalmic Ointment [Ciloxan] by Alcon",1797513,"ciprofloxacin",45741060,"Ciloxan 3mg/g eye ointment (Alcon Laboratories (UK) Ltd)",221,FALSE
"CPRD GOLD",21140596,"Ciprofloxacin 250 MG Oral Tablet by Sandoz",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21140611,"Ciprofloxacin 500 MG Oral Tablet by Kent",1797513,"ciprofloxacin",37701230,"Ciprofloxacin 500mg tablets (Kent Pharmaceuticals Ltd)",6,FALSE
"CPRD GOLD",21052290,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Waymade",1797513,"ciprofloxacin",37701234,"Ciproxin 500mg tablets (Waymade Healthcare Plc)",80,FALSE
"CPRD GOLD",21120876,"Ciprofloxacin 3 MG/ML Otic Solution",1797513,"ciprofloxacin",37762978,"Ciprofloxacin 0.3% ear drops",104,FALSE
"CPRD GOLD",21052288,"Ciprofloxacin 500 MG Oral Tablet by Medreich",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",40712413,"100 ML Ciprofloxacin 2 MG/ML Injectable Solution [Ciproxin] by Bayer",1797513,"ciprofloxacin",NA,NA,NA,TRUE
"CPRD GOLD",21062121,"Ciprofloxacin 500 MG Oral Tablet [Ciproxin] by Bayer",1797513,"ciprofloxacin",45736782,"Ciproxin 500mg tablets (Bayer Plc)",28352,FALSE
"CPRD GOLD",21042519,"Ciprofloxacin 500 MG Oral Tablet by Actavis",1797513,"ciprofloxacin",45732929,"Ciprofloxacin 500mg tablets (Actavis UK Ltd)",12,FALSE
"CPRD GOLD",21150449,"Ciprofloxacin 750 MG Oral Tablet by A A H",1797513,"ciprofloxacin",45731112,"Ciprofloxacin 750mg tablets (A A H Pharmaceuticals Ltd)",5,FALSE
"CPRD GOLD",35752749,"Ciprofloxacin 250 MG Oral Tablet by Niche Generics",1797513,"ciprofloxacin",45741979,"Ciprofloxacin 250mg tablets (Niche Generics Ltd)",6,FALSE
"CPRD GOLD",21091460,"Ciprofloxacin 250 MG Oral Tablet by Wockhardt",1797513,"ciprofloxacin",NA,NA,NA,TRUE
